state,crop_general,crop_specific,Name,Org,State
AL,Blueberry,,Sushan Ru,Auburn University,Alabama
AL,Cotton,,Jenny Koebernick,Auburn University,Alabama
AL,Peanut,,Charles Chen,Auburn University,Alabama
AL,Soybean,,Jenny Koebernick,Auburn University,Alabama
AR,Grapes,"Grapes, general/other",Margaret Worthington,University of Arkansas,Arkansas
AR,Leafy vegetables,,Ainong Shi,University of Arkansas,Arkansas
AR,Peach,,Margaret Worthington,University of Arkansas,Arkansas
AR,Soybean,,Caio Canella Vieira,University of Arkansas,Arkansas
AR,Wheat,,Ehsan SHAKIBA,University of Arkansas,Arkansas
AR,Rice,,Georgia Eizenga,USDA-ARS,Arkansas
CA,Plum,,Theodore DeJong,"University of California, Davis",California
CA,Plum,,Ted DeJong,"University of California, Davis",California
CA,Beans,Beans (dry),Christine Diepenbrock,"University of California, Davis",California
CA,Tomato,,Roger Chetelat,"University of California, Davis",California
CA,Triticale,,Joshua Hegarty,"University of California, Davis",California
CA,Wheat,,Jorge Dubcovsky,"University of California, Davis",California
CA,Citrus,,Mikeal Roose,"University of California, Riverside",California
CO,Potato,,Jessica Chitwood-Brown,Colorado State University,Colorado
CT,Ornamentals,Ornamental trees and shrubs,Mark Brand,University of Connecticut,Connecticut
DE,Beans,Lima beans,Emmalea Ernest,University of Delaware,Delaware
FL,Forage,Alfalfa,Esteban Rios,University of Florida,Florida
FL,Blueberry,,Patricio Munoz,University of Florida,Florida
FL,Citrus,,Jose Chaparro,University of Florida,Florida
FL,Citrus,,Manjul Dutt,University of Florida,Florida
FL,Grapes,"Grapes, general/other",Manjul Dutt,University of Florida,Florida
FL,Leafy vegetables,,German Sandoya Miranda,University of Florida,Florida
FL,Ornamentals,Bedding/garden plants,Alfred Huo,University of Florida,Florida
FL,Ornamentals,Bedding/garden plants,Zhanao Deng,University of Florida,Florida
FL,Ornamentals,Bedding/garden plants,David Clark,University of Florida,Florida
FL,Ornamentals,Bedding/garden plants,Xingbo Wu,University of Florida,Florida
FL,Peanut,,Barry Tillman,University of Florida,Florida
FL,Peppers,,Bala Rathinasabapathi,University of Florida,Florida
FL,Pine,Loblolly and Slash Pine,Gary Peter,University of Florida,Florida
FL,Potato,,Marcio Resende,University of Florida,Florida
FL,Strawberry,,Vance Whitaker,University of Florida,Florida
FL,Strawberry,,Seonghee Lee,University of Florida,Florida
FL,Sweetcorn,,Marcio Resende,University of Florida,Florida
FL,Tomato,,Samuel Hutton,University of Florida,Florida
FL,Turf,,Kevin Kenworthy,University of Florida,Florida
FL,Wheat,,Md Ali Babar,University of Florida,Florida
FL,Citrus,,Fred Gmitter,University of Florida,Florida
FL,Cucurbits,,Geoffrey Meru,University of Florida,Florida
GA,Forage,Alfalfa,Ali Missaoui,University of Georgia,Georgia
GA,Forage,,Ali Missaoui,University of Georgia,Georgia
GA,Melons,,Cecilia McGregor,University of Georgia,Georgia
GA,Ornamentals,Herbaceous perennials and decorative greens,John Ruter,University of Georgia,Georgia
GA,Peach,,Dario Chavez,University of Georgia,Georgia
GA,Peanut,,Peggy Ozias-Akins,University of Georgia,Georgia
GA,Pecan,,Patrick Conner,University of Georgia,Georgia
GA,Soybean,,Zenglu Li,University of Georgia,Georgia
GA,Soybean,,Wayne Parrott,University of Georgia,Georgia
GA,Tomato,,Esther Vanderknaap,University of Georgia,Georgia
GA,Corn,,Joseph Knoll,USDA-ARS,Georgia
GA,Sorghum,Sweet sorghum,Joseph Knoll,USDA-ARS,Georgia
HI,Ornamentals,"Cut flowers, foliage, and landscape plants",James Keach,University of Hawaii,Hawaii
IA,Corn,,Thomas Lubberstedt,Iowa State University,Iowa
IA,Corn,,Jianming Yu,Iowa State University,Iowa
IA,Cover crops,,Shuizhang Fei,Iowa State University,Iowa
IA,Sorghum,,Maria Salas Fernandez,Iowa State University,Iowa
